code,label,chapter,billable
A00,Cólera,Ciertas enfermedades infecciosas y parasitarias,false
A00.0,"Cólera debido a Vibrio cholerae O1, biotipo cholerae",Ciertas enfermedades infecciosas y parasitarias,true
A00.1,"Cólera debido a Vibrio cholerae O1, biotipo El Tor",Ciertas enfermedades infecciosas y parasitarias,true
A00.9,"Cólera, no especificado",Ciertas enfermedades infecciosas y parasitarias,true
A01,Fiebres tifoidea y paratifoidea,Ciertas enfermedades infecciosas y parasitarias,false
A01.0,Fiebre tifoidea,Ciertas enfermedades infecciosas y parasitarias,true
A01.1,Fiebre paratifoidea A,Ciertas enfermedades infecciosas y parasitarias,true
A01.2,Fiebre paratifoidea B,Ciertas enfermedades infecciosas y parasitarias,true
A01.3,Fiebre paratifoidea C,Ciertas enfermedades infecciosas y parasitarias,true
A01.4,"Fiebre paratifoidea, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A02,Otras infecciones debidas a Salmonella,Ciertas enfermedades infecciosas y parasitarias,false
A02.0,Enteritis debida a Salmonella,Ciertas enfermedades infecciosas y parasitarias,true
A02.1,Septicemia debida a Salmonella,Ciertas enfermedades infecciosas y parasitarias,true
A02.2,Infecciones localizadas debidas a Salmonella,Ciertas enfermedades infecciosas y parasitarias,true
A02.8,Otras infecciones especificadas como debidas a Salmonella,Ciertas enfermedades infecciosas y parasitarias,true
A02.9,"Infección debida a Salmonella, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A03,Shigelosis,Ciertas enfermedades infecciosas y parasitarias,false
A03.0,Shigelosis debida a Shigella dysenteriae,Ciertas enfermedades infecciosas y parasitarias,true
A03.1,Shigelosis debida a Shigella flexneri,Ciertas enfermedades infecciosas y parasitarias,true
A03.2,Shigelosis debida a Shigella boydii,Ciertas enfermedades infecciosas y parasitarias,true
A03.3,Shigelosis debida a Shigella sonnei,Ciertas enfermedades infecciosas y parasitarias,true
A03.8,Otras shigelosis,Ciertas enfermedades infecciosas y parasitarias,true
A03.9,Shigelosis de tipo no especificado,Ciertas enfermedades infecciosas y parasitarias,true
A04,Otras infecciones intestinales bacterianas,Ciertas enfermedades infecciosas y parasitarias,false
A04.0,Infección debida a Escherichia coli enteropatógena,Ciertas enfermedades infecciosas y parasitarias,true
A04.1,Infección debida a Escherichia coli enterotoxígena,Ciertas enfermedades infecciosas y parasitarias,true
A04.2,Infección debida a Escherichia coli enteroinvasiva,Ciertas enfermedades infecciosas y parasitarias,true
A04.3,Infección debida a Escherichia coli enterohemorrágica,Ciertas enfermedades infecciosas y parasitarias,true
A04.4,Otras infecciones intestinales debidas a Escherichia coli,Ciertas enfermedades infecciosas y parasitarias,true
A04.5,Enteritis debida a Campylobacter,Ciertas enfermedades infecciosas y parasitarias,true
A04.6,Enteritis debida a Yersinia enterocolitica,Ciertas enfermedades infecciosas y parasitarias,true
A04.7,Enterocolitis debida a Clostridium difficile,Ciertas enfermedades infecciosas y parasitarias,true
A04.8,Otras infecciones intestinales bacterianas especificadas,Ciertas enfermedades infecciosas y parasitarias,true
A04.9,"Infección intestinal bacteriana, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A05,"Otras intoxicaciones alimentarias bacterianas, no clasificadas en otra parte",Ciertas enfermedades infecciosas y parasitarias,false
